Label,Count
enhancement,7508
released,5926
bug,3939
cla: yes,3439
locked-due-to-inactivity,2177
CLA Signed,2151
Passed Review,1712
documentation,963
ready,834
feature,815
Passed QA,750
Squad Front End,726
Type: Feature,677
Type: Bug,617
internal,616
translations,567
[zube]: Done,540
4: Reviews Complete,516
ready for review,504
in progress,477
chore,477
docs,442
greenkeeper,413
No UX QA Required,397
needs review,385
release,373
merged,367
semver-patch,364
pr: merge ready,362
Enhancement,358
semver-minor,323
automerge,321
LGTM,319
PR: polish 💅,318
tests,312
No QA Required,312
breaking,311
Bug,287
dependencies,259
Pending Review,250
2: Dev Review,244
changelog:bug-fixes,237
help wanted,236
in review,234
changelog:enhancements,230
need review,223
maintenance,222
type: bug,215
PR: internal 🏠,214
hygiene,210
WIP,204
technical debt,201
refactor,200
test,198
Meta: Internal,195
2.x,193
v3,183
Passed UX QA,175
type: document,172
review,166
minor,164
Cypress,160
Type: Fix,157
changelog:exclude,157
wip,156
semver-major,155
squash-and-merge,154
patch,151
needs 2nd review,146
ci,142
PR,142
API,142
breaking change,141
PR: dependency 📦,135
Waiting for Review,134
pr: merge safe,134
type: docs,130
bugfix,126
PR Good To Merge,120
type: chore,117
Status: Accepted,117
Type: Enhancement,114
DO NOT MERGE,113
bugfix :wrench:,113
support,112
approved,105
context: full,105
Pending QA,104
P2: required,104
cla-signed,103
CherryPick/Done,103
Ready for Review,99
change/minor,99
[Status] Needs Review,97
change/patch,96
chore :truck:,95
semver: Patch,95
discussion,93
automation,93
stale,92
pr - good to merge,87
type: process,87
lang:typescript,87
review/with team,87
autorelease: published,86
build,84
dependency,83
CLA: Valid,82
should review,82
type: enhancement,81
status: Approved,81
performance,80
Documentation,79
Type: Documentation,79
area: graphics,76
work in progress,75
Demo Site,75
semver-none,75
priority/high,74
Tests/Done,74
type/enhancement,74
major,73
passes code review,73
cla: valid,73
PR: bug fix 🐞,72
enhancement :rocket:,72
release-blocker,72
css,71
Release Notes,70
question,69
ready to review,69
passes functional review,69
type/bug,69
pr: lgtm,68
type: Bug,67
P1: urgent,66
new component,66
type: feature,65
new feature,65
accepted,65
priority/medium,65
In Progress,64
needs: review,63
improvement,62
released on @beta,62
core,61
feature :green_apple:,61
do not merge,60
P3: important,60
needs-review,59
Tests/Not Needed,58
Critical,57
Hacktoberfest,57
skill: front end,57
js,56
breaking changes,56
PR: breaking change 💥,56
cat/dx,56
team-apex,55
storybook,55
P4: minor,54
Reviewed,53
invalid,52
QA Review Done,52
feature request,51
[Status] Ready to Merge,51
severity: regression,51
pkg:naming,51
released on @alpha,51
Minor,50
Internal,50
config change,50
blocked,49
component-request:update,47
v3.x,46
a11y,46
upgrade,46
backport,45
type: release,45
changelog:breaking-changes,45
changelog:new-features,45
Review,44
Type: Maintenance,44
type: build,44
release: 2.0,44
code-review-status:pending,43
type: Refactor,43
on hold,42
PR: feature 🚀,42
release: minor,41
internals,40
needs update,40
Status: Review Ready,39
wontfix,38
cli,37
review needed,37
defect,37
PR state: needs review,37
wallet,36
PR: OK,36
triage,36
typescript,36
cherry pick,36
v2.x,35
security,35
SEM: Patch,35
context: none,35
3 - To Review,35
cat/aws-event-api-gateway,35
cat/dashboard,35
Type: Security,35
dependency update,34
Status: In Progress,34
pr - needs review,34
quality,34
priority:high,34
release:patch,33
Open Source Prep,33
meta,33
g3: reported,33
quick,33
PR: merged,33
urgency:high,33
reporters,33
improves: correctness,33
cla: no,32
run-test,32
type:enhancement,32
type: Chore,32
ready for merge,32
Good to go!,31
examples,31
finished,31
engineering health 🛠,31
semver: minor,31
priority/low,31
p1,30
TypeScript,30
Ready For Code Review,30
plugin:release-notes,30
Ready To Merge,29
Area: Documentation,29
autorelease: closed,29
plugin:commit-analyzer,29
cla-not-required,28
v4,28
need-documentation,28
codereview,28
reviewed,27
semver: patch,27
wip  :construction:,27
story:1,27
flicking,27
infiniteGrid,27
semver: Major,27
cleanup,26
Scouting,26
semver-minor: new stuff,26
tiny,26
pr_action: Review,26
Waiting for Release,25
Version 8,25
🎉 Feature,25
hacktoberfest,24
pinned,24
backport:2.x,24
Merged,24
demo :roller_coaster:,24
cross-signing-sprint,24
deps,23
duplicate,23
request,23
v5,23
Angular migration,23
status:in-progress,23
subject:parsers,23
Typescript,23
development env,23
change/major,23
Priority: High,22
QA PASSED,22
Type: Chores,22
plugin,22
release: patch,22
Prebid 1.0,22
:fish:,22
